-0.16 -0.28 1.07 0.17 -0.04 0.94 -0.13 -0.29 1.06 0.15 -0.03 0.95 -0.11 -0.30 1.06 0.12 -0.02 0.96 -0.09 -0.31 1.04 0.10 -0.01 0.96 -0.07 -0.31 1.03 0.07 -0.01 0.98 -0.04 -0.31 1.03 0.05 -0.01 0.98 -0.02 -0.31 1.03 0.03 -0.01 0.98 -0.00 -0.30 1.02 0.01 -0.02 0.99 0.01 -0.29 1.02 -0.00 -0.03 0.99 0.03 -0.27 1.01 -0.01 -0.04 0.99 0.04 -0.26 1.01 -0.03 -0.06 0.99 0.05 -0.24 1.01 -0.03 -0.07 0.99 0.05 -0.23 1.00 -0.03 -0.10 0.99 0.05 -0.21 1.01 -0.03 -0.12 0.98 0.04 -0.19 1.01 -0.01 -0.14 0.98 0.03 -0.18 1.02 -0.00 -0.14 0.97 0.01 -0.18 1.03 0.02 -0.14 0.96 -0.01 -0.18 1.04 0.04 -0.13 0.95 -0.03 -0.19 1.05 0.07 -0.13 0.94 -0.05 -0.19 1.06 0.09 -0.13 0.93 -0.08 -0.19 1.07 0.11 -0.12 0.92 -0.10 -0.20 1.09 0.13 -0.12 0.91 -0.12 -0.21 1.09 0.15 -0.13 0.91 -0.12 -0.18 1.10 0.16 -0.15 0.90 -0.13 -0.17 1.10 0.17 -0.16 0.90 -0.15 -0.17 1.10 0.19 -0.16 0.90 -0.15 -0.17 1.10 0.19 -0.15 0.91 -0.16 -0.18 1.10 0.20 -0.14 0.90 -0.16 -0.20 1.10 0.21 -0.12 0.91 -0.17 -0.22 1.09 0.21 -0.10 0.91 -0.17 -0.24 1.08 0.20 -0.08 0.92 -0.16 -0.26 1.08 0.20 -0.05 0.92 
-0.14 -0.32 1.06 0.17 0.01 0.95 -0.13 -0.35 1.05 0.15 0.04 0.97 -0.11 -0.38 1.04 0.13 0.07 0.98 -0.09 -0.41 1.03 0.11 0.10 1.00 -0.07 -0.44 1.02 0.08 0.13 1.01 -0.04 -0.46 1.00 0.05 0.16 1.03 -0.02 -0.48 0.99 0.02 0.18 1.04 0.01 -0.50 0.98 -0.01 0.20 1.06 0.03 -0.51 0.97 -0.04 0.22 1.07 0.06 -0.52 0.96 -0.06 0.23 1.08 0.08 -0.53 0.95 -0.09 0.24 1.08 0.11 -0.53 0.94 -0.12 0.24 1.09 0.13 -0.53 0.93 -0.14 0.24 1.09 0.15 -0.52 0.92 -0.16 0.23 1.10 0.17 -0.52 0.92 -0.18 0.23 1.09 0.19 -0.51 0.91 -0.19 0.21 1.10 0.20 -0.49 0.90 -0.20 0.20 1.09 0.21 -0.48 0.90 -0.21 0.17 1.09 0.22 -0.45 0.90 -0.22 0.14 1.09 0.23 -0.43 0.90 -0.22 0.11 1.08 0.23 -0.41 0.89 -0.22 0.09 1.08 0.24 -0.38 0.90 -0.22 0.05 1.07 0.23 -0.35 0.90 -0.21 0.02 1.07 0.23 -0.32 0.91 -0.20 -0.01 1.06 0.22 -0.29 0.92 -0.19 -0.04 1.06 0.21 -0.26 0.92 -0.18 -0.07 1.05 0.19 -0.23 0.93 -0.15 -0.10 1.04 0.17 -0.20 0.94 -0.13 -0.12 1.04 0.14 -0.18 0.95 -0.11 -0.15 1.03 0.11 -0.16 0.97 -0.08 -0.16 1.02 0.09 -0.15 0.97 -0.05 -0.17 1.01 0.06 -0.15 0.99 -0.03 -0.17 1.00 
0.02 -0.18 1.01 0.01 -0.13 0.98 0.01 -0.20 1.01 0.02 -0.10 0.98 -0.01 -0.22 1.02 0.03 -0.09 0.98 -0.01 -0.23 1.01 0.03 -0.07 0.98 -0.01 -0.25 1.01 0.03 -0.05 0.99 -0.01 -0.27 1.00 0.03 -0.02 0.99 -0.01 -0.28 0.99 0.02 -0.01 1.01 -0.00 -0.30 0.98 0.01 0.02 1.02 0.01 -0.33 0.97 0.00 0.04 1.03 0.02 -0.35 0.96 -0.01 0.07 1.04 0.03 -0.38 0.95 -0.03 0.10 1.05 0.04 -0.40 0.94 -0.04 0.12 1.06 0.06 -0.42 0.93 -0.06 0.15 1.08 0.08 -0.45 0.92 -0.08 0.17 1.09 0.10 -0.47 0.92 -0.11 0.19 1.10 0.12 -0.49 0.90 -0.13 0.21 1.11 0.14 -0.50 0.89 -0.16 0.22 1.12 0.17 -0.51 0.88 -0.19 0.23 1.13 0.19 -0.52 0.87 -0.21 0.23 1.14 0.22 -0.52 0.86 -0.23 0.23 1.15 0.24 -0.52 0.85 -0.26 0.23 1.16 0.26 -0.51 0.84 -0.28 0.22 1.16 0.29 -0.50 0.83 -0.29 0.20 1.16 0.30 -0.49 0.83 -0.30 0.18 1.16 0.32 -0.47 0.82 -0.31 0.16 1.16 0.32 -0.45 0.82 -0.32 0.13 1.15 0.33 -0.43 0.82 -0.32 0.11 1.15 0.34 -0.40 0.82 -0.32 0.08 1.14 0.33 -0.38 0.83 -0.31 0.04 1.13 0.33 -0.35 0.83 -0.30 0.01 1.13 0.32 -0.32 0.84 -0.29 -0.02 1.12 0.31 -0.29 0.85 -0.27 -0.06 1.11 
0.27 -0.22 0.88 -0.23 -0.12 1.10 0.25 -0.20 0.89 -0.21 -0.15 1.09 0.23 -0.17 0.90 -0.19 -0.17 1.08 0.21 -0.15 0.92 -0.17 -0.19 1.07 0.18 -0.13 0.93 -0.14 -0.20 1.06 0.15 -0.11 0.94 -0.11 -0.22 1.05 0.12 -0.10 0.96 -0.08 -0.22 1.03 0.09 -0.09 0.97 -0.05 -0.23 1.03 0.06 -0.09 0.98 -0.03 -0.22 1.02 0.03 -0.11 0.98 -0.01 -0.20 1.02 0.02 -0.13 0.99 0.01 -0.18 1.01 0.01 -0.15 0.99 0.01 -0.15 1.01 0.01 -0.18 0.99 0.01 -0.13 1.01 0.02 -0.20 0.99 -0.00 -0.11 1.01 0.03 -0.21 0.98 -0.02 -0.10 1.03 0.04 -0.23 0.96 -0.04 -0.08 1.04 0.06 -0.25 0.95 -0.05 -0.06 1.05 0.08 -0.27 0.94 -0.07 -0.02 1.06 0.09 -0.31 0.93 -0.09 0.02 1.08 0.11 -0.35 0.91 -0.11 0.05 1.09 0.13 -0.38 0.90 -0.14 0.08 1.10 0.16 -0.40 0.89 -0.16 0.11 1.11 0.18 -0.43 0.87 -0.18 0.13 1.12 0.20 -0.44 0.86 -0.21 0.14 1.14 0.22 -0.46 0.85 -0.23 0.15 1.15 0.24 -0.47 0.84 -0.25 0.16 1.15 0.27 -0.47 0.83 -0.27 0.16 1.16 0.29 -0.47 0.82 -0.29 0.15 1.16 0.31 -0.46 0.82 -0.30 0.15 1.17 0.32 -0.45 0.81 -0.32 0.13 1.17 0.33 -0.43 0.81 -0.33 0.11 1.17 0.35 -0.42 0.80 -0.33 0.09 1.16 
0.35 -0.37 0.80 -0.33 0.03 1.16 0.35 -0.34 0.81 -0.32 0.00 1.14 0.34 -0.31 0.82 -0.31 -0.03 1.14 0.33 -0.28 0.83 -0.30 -0.06 1.13 0.32 -0.25 0.84 -0.28 -0.09 1.12 0.30 -0.22 0.86 -0.26 -0.12 1.11 0.28 -0.20 0.88 -0.23 -0.15 1.10 0.26 -0.17 0.89 -0.21 -0.17 1.10 0.23 -0.15 0.91 -0.19 -0.19 1.09 0.21 -0.13 0.92 -0.17 -0.21 1.07 0.18 -0.11 0.93 -0.14 -0.22 1.07 0.15 -0.10 0.94 -0.12 -0.23 1.05 0.12 -0.09 0.96 -0.09 -0.24 1.04 0.09 -0.08 0.97 -0.06 -0.24 1.04 0.07 -0.08 0.98 -0.03 -0.23 1.03 0.04 -0.09 0.98 -0.01 -0.22 1.02 0.02 -0.11 0.98 0.01 -0.20 1.02 0.01 -0.13 0.99 0.01 -0.17 1.01 0.01 -0.16 0.99 0.01 -0.14 1.01 0.02 -0.18 0.99 0.00 -0.12 1.02 0.03 -0.20 0.98 -0.01 -0.11 1.03 0.04 -0.21 0.96 -0.04 -0.10 1.04 0.07 -0.23 0.95 -0.06 -0.08 1.06 0.09 -0.25 0.94 -0.08 -0.06 1.08 0.11 -0.29 0.92 -0.10 -0.01 1.08 0.12 -0.32 0.91 -0.12 0.02 1.10 0.15 -0.35 0.89 -0.15 0.05 1.11 0.17 -0.38 0.88 -0.18 0.07 1.12 0.20 -0.40 0.86 -0.20 0.09 1.13 0.22 -0.41 0.85 -0.22 0.10 1.14 0.24 -0.42 0.84 -0.24 0.11 1.15 0.27 -0.43 0.83 -0.26 0.11 1.16 
0.31 -0.42 0.81 -0.30 0.09 1.17 0.33 -0.41 0.81 -0.31 0.08 1.17 0.34 -0.39 0.80 -0.32 0.06 1.17 0.35 -0.37 0.80 -0.33 0.03 1.16 0.36 -0.35 0.79 -0.33 0.01 1.16 0.36 -0.32 0.80 -0.33 -0.03 1.15 0.36 -0.29 0.80 -0.32 -0.06 1.15 0.35 -0.26 0.82 -0.30 -0.09 1.13 0.34 -0.23 0.84 -0.29 -0.13 1.13 0.32 -0.20 0.85 -0.27 -0.16 1.12 0.30 -0.16 0.86 -0.25 -0.19 1.11 0.27 -0.13 0.88 -0.23 -0.22 1.09 0.25 -0.11 0.90 -0.20 -0.24 1.09 0.22 -0.08 0.92 -0.17 -0.26 1.08 0.19 -0.06 0.93 -0.15 -0.28 1.07 0.16 -0.04 0.94 -0.12 -0.29 1.06 0.13 -0.03 0.95 -0.09 -0.29 1.05 0.10 -0.03 0.97 -0.07 -0.29 1.04 0.08 -0.03 0.97 -0.04 -0.29 1.03 0.05 -0.03 0.98 -0.02 -0.28 1.03 0.03 -0.04 0.98 -0.00 -0.27 1.02 0.01 -0.05 0.98 0.02 -0.25 1.01 -0.01 -0.06 0.99 0.03 -0.23 1.01 -0.02 -0.08 0.99 0.03 -0.21 1.01 -0.01 -0.11 0.98 0.03 -0.19 1.01 -0.01 -0.14 0.98 0.02 -0.17 1.02 0.01 -0.15 0.97 0.00 -0.16 1.03 0.03 -0.16 0.96 -0.02 -0.16 1.04 0.05 -0.16 0.95 -0.05 -0.16 1.06 0.08 -0.16 0.93 -0.08 -0.15 1.07 0.11 -0.16 0.92 -0.11 -0.15 1.09 0.14 -0.17 0.91 -0.12 -0.14 1.10 
0.17 -0.23 0.88 -0.16 -0.09 1.12 0.19 -0.25 0.87 -0.18 -0.08 1.13 0.22 -0.26 0.87 -0.20 -0.08 1.14 0.24 -0.26 0.86 -0.21 -0.08 1.14 0.26 -0.25 0.86 -0.22 -0.09 1.14 0.27 -0.24 0.86 -0.23 -0.11 1.14 0.28 -0.22 0.85 -0.24 -0.13 1.13 0.28 -0.20 0.85 -0.24 -0.15 1.13 0.28 -0.17 0.86 -0.24 -0.18 1.12 0.28 -0.15 0.87 -0.23 -0.21 1.11 0.28 -0.12 0.88 -0.22 -0.24 1.10 0.27 -0.09 0.89 -0.21 -0.27 1.10 0.26 -0.06 0.90 -0.20 -0.30 1.09 0.24 -0.03 0.92 -0.18 -0.33 1.08 0.22 0.00 0.93 -0.16 -0.36 1.07 0.19 0.04 0.95 -0.13 -0.39 1.06 0.16 0.07 0.97 -0.11 -0.41 1.05 0.13 0.09 0.98 -0.08 -0.43 1.04 0.09 0.11 1.00 -0.05 -0.44 1.02 0.06 0.13 1.01 -0.02 -0.45 1.01 0.03 0.14 1.02 0.00 -0.46 1.00 0.00 0.15 1.04 0.03 -0.46 0.99 -0.03 0.15 1.03 0.05 -0.45 0.99 -0.05 0.15 1.04 0.08 -0.44 0.98 -0.07 0.13 1.05 0.09 -0.42 0.97 -0.09 0.11 1.04 0.11 -0.40 0.97 -0.10 0.09 1.04 0.12 -0.38 0.96 -0.11 0.06 1.04 0.13 -0.35 0.96 -0.12 0.03 1.04 0.14 -0.32 0.96 -0.11 -0.00 1.03 0.13 -0.29 0.97 -0.11 -0.04 1.02 0.13 -0.26 0.98 -0.10 -0.07 1.01 0.11 -0.23 0.98 
-0.06 -0.12 1.00 0.07 -0.18 1.00 -0.04 -0.14 0.99 0.04 -0.17 1.01 -0.01 -0.14 0.98 0.02 -0.18 1.02 0.02 -0.13 0.97 -0.01 -0.19 1.03 0.05 -0.11 0.95 -0.04 -0.21 1.05 0.07 -0.10 0.94 -0.06 -0.23 1.06 0.10 -0.08 0.93 -0.08 -0.25 1.06 0.11 -0.06 0.94 -0.09 -0.25 1.06 0.12 -0.07 0.94 -0.10 -0.25 1.06 0.13 -0.06 0.94 -0.11 -0.25 1.06 0.14 -0.05 0.94 -0.11 -0.26 1.05 0.14 -0.04 0.95 -0.11 -0.28 1.05 0.14 -0.02 0.96 -0.11 -0.30 1.04 0.13 0.01 0.96 -0.10 -0.33 1.03 0.12 0.03 0.98 -0.09 -0.36 1.02 0.11 0.07 0.99 -0.08 -0.39 1.01 0.09 0.10 1.00 -0.06 -0.42 1.00 0.07 0.13 1.02 -0.04 -0.45 0.99 0.04 0.16 1.03 -0.01 -0.47 0.98 0.02 0.18 1.05 0.02 -0.49 0.97 -0.02 0.21 1.06 0.04 -0.51 0.96 -0.05 0.23 1.07 0.07 -0.52 0.94 -0.08 0.24 1.09 0.10 -0.53 0.94 -0.11 0.25 1.10 0.13 -0.54 0.92 -0.14 0.25 1.11 0.15 -0.54 0.91 -0.16 0.25 1.11 0.18 -0.53 0.91 -0.19 0.24 1.12 0.20 -0.52 0.90 -0.21 0.23 1.11 0.22 -0.51 0.89 -0.22 0.21 1.12 0.23 -0.49 0.89 -0.24 0.19 1.11 0.25 -0.47 0.88 -0.24 0.16 1.11 0.26 -0.44 0.88 -0.25 0.12 1.10 0.26 -0.41 0.88 
-0.24 0.06 1.09 0.25 -0.35 0.89 -0.23 0.02 1.08 0.24 -0.32 0.90 -0.21 -0.02 1.07 0.23 -0.28 0.91 -0.20 -0.05 1.06 0.21 -0.24 0.92 -0.18 -0.09 1.06 0.19 -0.22 0.93 -0.15 -0.11 1.05 0.17 -0.19 0.94 -0.13 -0.14 1.04 0.14 -0.17 0.96 -0.10 -0.16 1.03 0.10 -0.15 0.97 -0.06 -0.18 1.02 0.07 -0.14 0.98 -0.04 -0.18 1.01 0.05 -0.15 0.99 -0.01 -0.16 1.00 0.02 -0.16 1.00 0.01 -0.14 0.99 0.01 -0.19 1.01 0.02 -0.12 0.99 0.00 -0.21 1.01 0.02 -0.10 0.99 -0.00 -0.23 1.01 0.03 -0.07 0.99 -0.00 -0.24 1.00 0.02 -0.05 0.99 0.00 -0.27 0.99 0.01 -0.03 1.00 0.01 -0.28 0.99 0.01 -0.00 1.01 0.01 -0.31 0.97 -0.01 0.03 1.03 0.03 -0.34 0.95 -0.02 0.06 1.04 0.04 -0.37 0.94 -0.04 0.09 1.06 0.06 -0.39 0.93 -0.06 0.11 1.07 0.08 -0.42 0.92 -0.08 0.14 1.08 0.10 -0.44 0.91 -0.11 0.17 1.10 0.13 -0.47 0.90 -0.14 0.19 1.11 0.15 -0.49 0.89 -0.16 0.21 1.12 0.17 -0.50 0.88 -0.19 0.22 1.13 0.20 -0.51 0.86 -0.22 0.22 1.14 0.22 -0.51 0.85 -0.24 0.22 1.15 0.25 -0.51 0.84 -0.26 0.22 1.16 0.27 -0.51 0.83 -0.28 0.21 1.16 0.30 -0.50 0.82 -0.30 0.19 1.17 0.31 -0.48 0.82 
-0.32 0.14 1.16 0.34 -0.44 0.81 -0.33 0.11 1.16 0.35 -0.41 0.81 -0.33 0.08 1.15 0.35 -0.38 0.81 -0.32 0.05 1.14 0.34 -0.35 0.82 -0.31 0.01 1.14 0.33 -0.32 0.83 -0.30 -0.03 1.13 0.32 -0.28 0.84 -0.28 -0.06 1.13 0.31 -0.25 0.85 -0.27 -0.10 1.12 0.29 -0.22 0.87 -0.24 -0.13 1.11 0.27 -0.19 0.88 -0.22 -0.16 1.10 0.24 -0.16 0.90 -0.20 -0.19 1.09 0.21 -0.13 0.91 -0.17 -0.21 1.08 0.19 -0.11 0.92 -0.15 -0.22 1.07 0.16 -0.10 0.94 -0.12 -0.24 1.06 0.13 -0.08 0.95 -0.09 -0.24 1.04 0.10 -0.08 0.96 -0.06 -0.25 1.04 0.07 -0.07 0.97 -0.03 -0.24 1.03 0.04 -0.07 0.98 -0.01 -0.24 1.02 0.02 -0.08 0.99 0.01 -0.22 1.02 0.01 -0.10 0.98 0.02 -0.20 1.01 0.00 -0.13 0.98 0.02 -0.17 1.01 0.01 -0.15 0.98 0.01 -0.15 1.02 0.02 -0.17 0.97 -0.01 -0.14 1.02 0.03 -0.17 0.96 -0.02 -0.14 1.04 0.06 -0.18 0.95 -0.05 -0.13 1.05 0.08 -0.19 0.93 -0.08 -0.13 1.07 0.11 -0.19 0.92 -0.10 -0.12 1.08 0.13 -0.21 0.90 -0.12 -0.09 1.09 0.15 -0.24 0.89 -0.14 -0.08 1.11 0.17 -0.26 0.88 -0.16 -0.06 1.12 0.19 -0.27 0.87 -0.18 -0.05 1.13 0.21 -0.28 0.86 -0.19 -0.06 1.14 0.23 -0.28 0.86 
